"Timestamp","Q1.1 Respondent's initials:","Q1.2 Paper's title","Q1.3 Paper's first author's family name","Q1.4 Publication year:","Q1.5 Publication journal:","Q1.6 Is paper self-describing as containing a meta-analysis (or meta-regression) or actually using meta-analysis/regression approach?","Comment for Q1.6","Q1.7. Is the study's main focus on comparative physiology?","Comment for Q1.7","Q1.8 Paper doi:","Q2.1 What is the type of effect sizes used?","Please also provide a quick note about what the effect size being used is, even if not ""other"". Comment for Q2.1","Q2.2 Does the study investigate any continuous environmental or methodological factors as moderators? (i.e., is it dosage or temperature dependent) ","Comment for Q2.2","Q2.3 Types of statistical models used, as mentioned in the paper or inferred from the descriptions (vote counting, random/fixed MA, MR, hierarchical, etc.)","Comment for Q2.3","Q2.4 Is this a formal meta-analysis (weighted model)?  ","Comment for Q2.4","Q2.5 Does the paper mention (or model) any issues related to data non-independence arising from multiple effect sizes obtained in single studies and/or from phylogenetic relatedness? ","Comment for Q2.5 ","Q2.6 Does the paper test/account for publication bias ?","Comment for Q2.6","Q2.7 Does the paper includes sensitivity analyses?","Comment for Q2.7","Q2.8 Does the paper report heterogeneity values? ","Comment for Q2.8","Q3.1 Does the paper report full list of included studies? ","Comment for Q3.1","Q3.2 What software was used for analyses?","Comment for Q3.2","Q3.3 Is the analysis code provided?","Comment for Q3.3","Q3.4 Is the data provided?","Comment for Q3.4","Q3.5 Where is the data ""hosted""?","Q3.5 Comment","Q3.6 If the data is available, is it ""useable""?","Q3.6 Comments"
"2021/06/01 10:09:57 AM GMT+10","PP","Predicting the effects of anthropogenic noise on fish reproduction","de Jong","2020","Reviews in Fish Biology and Fisheries","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","","https://doi.org/10.1007/s11160-020-09598-9","unclear/other (add comment) - Describe effect size","They didn't use traditional effect sizes. Instead, they used linear models from lme4. ","no","They didn't use traditional effect sizes so I'm not sure if this question applies here. Still, they included ""exposure length"" to the different types of sounds as a covariate; but they transformed this continuous variable as a ordered factor with four categories. They also say that they ""could not reliabily compare sound levels between studies, and sound levels are likely to influence effect size"". ","vote counting;weighted regression including mixed effects models","They actually did a linear regression of the vote counting (i.e. the response was the likelihood of observing a significant effect)","unclear/other model (add comment)","They did an a weighted linear regression, but it's pretty bad: ""The data-points in the model were weighed by the sum of the sample size of the treatment and the sample size of the control. In this way, repeated measure studies were weighed similarly to independent tests, because we assumed that the precision of repeated measure studies was higher than independent group studies for the same sample size"". ","paper explicitly models non-independence (at least some of it)","They included study ID as a random term in the models. ","no","Their study use vote counting as the response; so they cannot really test for publication bias. ","no","","N/A (e.g. they conducted unweighted meta-analysis)","They did not perform a meta-analysis","no","The references are cited in the data file (supplement); but they are not properly cited in the references and the full citation is not provided for each paper. ","Other R package","lme4","no","No code provided","yes","Data is provided in Supplement","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/01 10:42:57 AM GMT+10","PP","Distinguishing between active plasticity due to thermal acclimation and passive plasticity due to Q10 effects: Why methodology matters","Havird","2020","Functional Ecology","yes","","yes (i.e., focused only on physiological traits very clearly)","Q10 is the response","10.1111/1365-2435.13534 ","unclear/other (add comment) - Describe effect size","Q10 ","yes (if you select ""yes"", please describe in comment)","They included the ""lower test temperature"" as a covariate. However, it would be meaningful here to use the difference between the two temperatures compared to calculate the Q10; although Q10 already accounts for some temperature difference. ","random-effects meta-analysis (i.e., intercept only model, but has a study random effect ONLY)","They used the ""rma"" function in metafor, which only does a random-effect meta-analysis. ","weighted model","","paper explicitly models non-independence (at least some of it)","They paper models non-independence in the model by having a study-level random effect (rma function in metafor). However, most of the non-independence is not accounted for. ","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression)","","no","","yes","","yes","The list of included studies is in Supplement (with the data), but they probably did not get cited. ","R metafor","","yes","","yes","Data is provided in Supplement","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/01 11:03:42 AM GMT+10","PP","Structural colours reflect individual quality: A meta-analysis","White","2020","Biology Letters","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","","http://dx.doi.org/10.1098/rsbl.2020.0001","correlation (r)","They used Pearson's r (transformed to Fisher's z)","no","The study investigates different moderators that may ""alter the strength of the signal/quality relationship"" but they are all categorical","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","Study ID, phylogeny and effect size ID were used as random effects","weighted model","","paper explicitly models non-independence (at least some of it)","Study ID, phylogeny and effect size ID were used as random effects","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression)","","no","","yes","","yes","List of studies is in Supplement","R metafor","","yes","""All data and code are available via GitHub (https://github.com/EaSElab-18/ms_metacol) and are persistently archivedthrough Zenodo (https://dx.doi.org/10.5281/zenodo.3718617)""","yes","""All data and code are available via GitHub (https://github.com/EaSElab-18/ms_metacol) and are persistently archivedthrough Zenodo (https://dx.doi.org/10.5281/zenodo.3718617)""","Other (Comment)","""All data and code are available via GitHub (https://github.com/EaSElab-18/ms_metacol) and are persistently archived through Zenodo (https://dx.doi.org/10.5281/zenodo.3718617)""","Data is in appropriate format, but the raw data is not provided","The data published has the Pearson's r, but it does not show the raw data used to calculate the effect sizes. "
"2021/06/01 11:27:00 AM GMT+10","PP","The association between stressors and telomeres in non-human vertebrates: a meta-analysis","Chatelain","2020","Ecology Letters","yes","","yes (i.e., focused only on physiological traits very clearly)","The meta-analysis focuses on telomeres length and oxidative stress","https://doi.org/10.1111/ele.13426","correlation (r)","They used Fisher's Z (which is a transformation of the correlation coefficient r)","unclear/other (add comment)","The types of stressor categories were categorical variables; but it may have been possible to model the stressor intensity as a continuous variable. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","Phylogeny, study ID, species ID, and a random residual term were used as random effects","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test;yes, time-lag bias","","yes","They performed a subset analysis with the studies ""providing effect sizes of stressor exposure, telomeres and oxidative stress response"" ","yes","","yes","Included studies are cited in the ""References"" section","R metafor","","yes","The database supporting the results and the Rscripts used  for analysis are available from the  Figshare Repository: https://doi.org/10.6084/m9.figshare.10003334.","yes","The database supporting the results and the Rscripts used  for analysis are available from the  Figshare Repository: https://doi.org/10.6084/m9.figshare.10003334.","Figshare","The database supporting the results and the Rscripts used  for analysis are available from the  Figshare Repository: https://doi.org/10.6084/m9.figshare.10003334.","Data is in appropriate format, but the raw data is not provided","Data is useable, but the raw data used to calculate the effect sizes is not provided. "
"2021/06/01 11:49:21 AM GMT+10","PP","Patterns and variation in the mammal parasite–glucocorticoid relationship","Defolie","2020","Biological Reviews","yes","","yes (i.e., focused only on physiological traits very clearly)","They investigated the relationship between glucocorticoid levels and parasite infection","doi: 10.1111/brv.12555","correlation (r)","They used Fisher's Z, which is a transformation of Pearson's correlation coefficient r","no","Their effect size depends on the infection doses, but they modelled this with a categorical variable (""high"", ""medium"", ""low"", ""unique"") because of low sample sizes. They also included the ""measure of parasitism"" ( ‘intensity’,  ‘prevalence’,  ‘speciesrichness’   or   ‘multiple-species   infection’) with a categorical variable. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They used study ID, species ID, laboratory ID, manufacturer ID, phylogeny and effect size ID as random effects; and modelled outcomes within a study with a variance-covariance matrix (to account for shared treatment or shared measurement). Note that they excluded phylogeny, species ID, laboratory ID and manufacturer ID because they were not explaining significant variance. 
","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test;yes, time-lag bias","","yes","They performed leave-one-out analyses; ran models with only studies focusing on cortisol; modified the within-study correlation in their variance-covariance matrix to different values; estimated variance from ""the SD at different time points""; and compared results of analyses ""with and without factor levels with low sample size"" ","yes","","yes","Included studies are in the References section","R metafor","","no","Code not provided and ""data are available upon request""","no"," ""data are available upon request""","Other (Comment)"," ""data are available upon request""","Other (Comment)","""data are available upon request"""
"2021/06/01 12:15:20 PM GMT+10","PP","The effects of anthropogenic noise on animals: A meta-analysis","Kunc","2019","Biology Letters","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","","https://doi.org/10.1098/rsbl.2019.0649","SMD (d, g, etc.)","They used the standardized mean difference with heteroscedastic population variances in two groups (SMDH)","no","They used the mean difference between two groups (control versus noise treatment) but they haven't modelled the influence of e.g. noise intensity on the effect sizes. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","They did a meta-regression with taxonomic group as a moderator, and then performed intercept models with subsets of the data for each taxonomic group","weighted model","","paper explicitly models non-independence (at least some of it)","They included study, phylogeny (or species ID, depending on the model) and effect size ID as random terms","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression)","","yes","They ""evaluated the sensitivity of our analyses by comparing fitted models with and without effect sizes that we defined as potentially influential from inspecting graphs""","yes","","no","The references are only cited in the data file, without the full citation. Therefore, authors of empirical studies were not acknowledged. ","R metafor","","yes","The data and code are available as electronic supplementary material","yes","The data and code are available as electronic supplementary material","Online Supplemental Material","The data and code are available as electronic supplementary material","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/01 1:26:33 PM GMT+10","PP","Immunosenescence in wild animals: meta-analysis and outlook","Peters","2019","Ecology Letters","yes","","yes (i.e., focused only on physiological traits very clearly)","The study focuses on immunosenescence","10.1111/ele.13343","correlation (r)","They used Fisher's Z, which is a transformation of Pearson's r correlation coefficient","unclear/other (add comment)","Doesn't apply here as they measured the Zr between age and immunity.","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","unclear/other model (add comment)","They did not indicate whether they weighted estimates in MCMCglmm (and code is not provided)","paper explicitly models non-independence (at least some of it)","They modelled phylogeny and species ID as random effects. Study ID was not included because it was overlapping with species ID. An observation-level random effect is also included by default in MCMCglmm I think. ","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test","","yes","They perfomed an analysis without some data points (effects associated with quadratic components). Presented in Fig. S2","yes","","yes","Studies are cited in the data set (Table S1), but they don't report the full citation so the authors of the included studies may not have been cited.","R metafor;R MCMCglmm","MCMCglmm for analyses; metafor for publication bias. ","no","""No new data were used, the meta-analytic effect sizes extracted from the literature are included in the supplementary material."" They haven't published the code","yes","""No new data were used, the meta-analytic effect sizes extracted from the literature are included in the supplementary material."" They provided the data in Supplement. ","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/01 1:50:44 PM GMT+10","PP","Adaptive phenotypic plasticity for life-history and less fitness-related traits","Acasuso-Rivero","2019","Proceedings of the Royal Society B: Biological Sciences","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","They compare life history traits and non-life history traits in terms of their plasticty","http://dx.doi.org/10.1098/rspb.2019.0653","unclear/other (add comment) - Describe effect size","They used the coefficient of variation (not the coefficient of variation ratio) as their response variable","unclear/other (add comment)","Does not apply here because they compare how different traits differ in their coefficient of variation","linear regression (including linear mixed-effects model);weighted regression including mixed effects models","They used generalized linear mixed-effect models (lme4) with study ID as a random term and repetition ID (number of data points extracted per study) as weights for their analysis of ""Adaptive plasticity"". For their analysis of ""Genetic canalization"", they used a generalized linear model (lme4), but without indication of weights or random effects. ","unclear/other model (add comment)","They only performed linear regressions","paper explicitly models non-independence (at least some of it)","They include species ID in some models, but do not account for the other sources of non-independence","yes, it uses graphical tests (e.g., funnel plot)","They only did graphical tests (plotting the number of studies through time; and a funnel plot)","yes","They ""re-analysed the data in a collapsed dataset that included the average CV for all means reported inthe same publication, that reported the same species, environment, environment type, location, measurement, number ofenvironments and breeding (see factors in the electronic supplementary material, table S1)""","N/A (e.g. they conducted unweighted meta-analysis)","They only did linear regressions","yes","The list of included studies is in supplement but the full citation is not presented so I doubt the authors of the studies were properly cited. ","unclear/other (add comment)","R lme4","no","Code not provided","yes","Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.72s8g4j ","Dryad","","Data is in appropriate format, but the raw data is not provided","Data is in appropriate format, but the means and SD used to calculate the coefficients of variations are not presented. "
"2021/06/01 2:08:17 PM GMT+10","PP","The covariance between metabolic rate and behaviour varies across behaviours and thermal types: meta-analytic insights","Mathot","2019","Biological Reviews","yes","","yes (i.e., focused only on physiological traits very clearly)","The study investigates the relationsip between metabolic rate and behaviour","10.1111/brv.12491","correlation (r)","They used Fisher's Z, which is a transformation of Pearson's r correlation coefficient","unclear/other (add comment)","They used the correlation between metabolic rate and behaviour so I don't think it applies here","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They included phylogeny, species ID, group ID and effect size ID as random terms","yes, it uses graphical tests (e.g., funnel plot);yes, it uses trim-and-fill test;yes, time-lag bias","","yes","They repeated the analyses with the data since 2007 to control for time-lag bias","yes","","yes","List of included studies in the References section and in the Supplement. ","R metafor","","yes","Complete details of meta-analytic and meta-regression models are available through the Open Science Framework repository (R-markdown file provided with our data set: DOI 10.17605/OSF.IO/GMVAB; web address: https://osf.io/gmvab/; Mathot, Dingemanse & Nakagawa, 2018).","yes","Complete details of meta-analytic and meta-regression models are available through the Open Science Framework repository (R-markdown file provided with our data set: DOI 10.17605/OSF.IO/GMVAB; web address: https://osf.io/gmvab/; Mathot, Dingemanse & Nakagawa, 2018).","Other (Comment)","OSF","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes","Data is useable"
"2021/06/02 10:18:17 AM GMT+10","PP","The weakest link: sensitivity to climate extremes across life stages of marine invertebrates","Pandori","2019","Oikos","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","","10.1111/oik.05886","SMD (d, g, etc.);Response Ratio (lnRR);unclear/other (add comment) - Describe effect size","They used the natural log transformed response ratio (lnRR) and the difference in lnRR between older and younger life stages (which they term the lnRR difference). They also used Hedges'd as part of a sensitivity analysis. ","yes (if you select ""yes"", please describe in comment)","They say that they tested the ""treatment magnitude"" as a covariate. ","meta-regression models (i.e., a multilevel or random effect model with moderators);unclear/other (add comment to describe)","When reading the first paragraph of 'Data analysis"", it seems that they only calculated the mean effect sizes and  the confidence intervals around this mean - without weighting the effect sizes. Similarly, they used Hedges'd in a sensitivity analysis stating that these effect sizes were ""weighted"" but this seems like it was not the case. In fact, I don't think they calculated the sampling variance of Hedges'd; and probably thought that, because the SMD formulae includes pooled variance, it was a weighted effect size. However, later in this paragraph they say that they used metafor for the analyses and fitted predictors. My guess is that they calculated mean effect sizes and CI for ""intercept"" models; and then fitted predictors using metafor, but without using weights (they set the vi argument to 1)","unweighted model","They stated that ""We used this unweighted effect size metric because it allowed for the inclusion of the most experiments in our analysis"". Surprisingly, they state that they ""also calculated a weighted effect size met-ric (Hedges d; Hedges and Olkin 1985) for comparison"" but they have not calculated the sampling variance of the effect size, so it's technically not weighted. They set the ""vi"" argument in metafor models to 1. ","paper explicitly models non-independence (at least some of it)","They ran a random-effect meta-regression with study ID as a random effect; but haven't included other sources of non-independence. ","yes, it uses failsafe number","","yes","They ran other models with Hedges' d as the effect size, rather than lnRR or lnRR difference. ","yes","Reported in Supplement","yes","References are listed in Table 1, and cited in the References section. ","R metafor;Other R package","Metafor was used for meta-regressions but ""intercepts"" were calculated as mean effect sizes (base R) and confidence intervals were computed using the ""boot"" package","no","No code provided","yes","Data available from the University of California DASH Digital Repository: <http://doi.org/10.15146/R3J09X> (Pandori and Sorte 2018)","Dryad","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/02 10:39:34 AM GMT+10","PP","The effect of insularity on avian growth rates and implications for insular body size evolution","Sandvig","2019","Proceedings of the Royal Society B: Biological Sciences","yes","","yes (i.e., focused only on physiological traits very clearly)","The study focuses on comparisons between the growth rates of mainland and island birds. ","http://dx.doi.org/10.1098/rspb.2018.1967","unclear/other (add comment) - Describe effect size","They used the maximum relative growth rate (k; slope) as their effect size","yes (if you select ""yes"", please describe in comment)","Their effect size is dependent on the body size of the animals and they included this as a covariate in their analyses. ","meta-regression models (i.e., a multilevel or random effect model with moderators)","They used multi-level meta-regressions in MCMCglmm","unweighted model","","paper explicitly models non-independence (at least some of it)","They used study ID, species ID, phylogeny and measurement error as random effects in the models. ","no","They state that ""Publication bias was unlikely toaffect the distribution of effect sizes of our meta-analysis becausereporting growth rates is unlikely to depend on its magnitude andis not subject to statistical significance ""","no","","unclear/other (add comment)","They report the variance explained by the different random terms; but not the heterogeneity","yes","References are in the Supplement. ","R MCMCglmm","","yes","Code is provided in supplement. ""The datasets used in the full and island mixed models,including references to the original studies, phylogenetic trees and the code to run the analysis are available in the electronic supplementarymaterial.""","yes","""The datasets used in the full and island mixed models,including references to the original studies, phylogenetic trees and thecode to run the analysis are available in the electronic supplementarymaterial.""","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/02 11:03:16 AM GMT+10","PP","Handling stress and sample storage are associated with weaker complement-mediated bactericidal ability in birds but not bats","Becker","2019","Physiological and Biochemical Zoology","yes","","yes (i.e., focused only on physiological traits very clearly)","The paper focuses on immune responses (bacterial killing ability)","10.1086/701069","correlation (r)","They used the ""correlation-based r between handling or storafe time and BKA"" (bacterial killing ability). Then, they converted r into Fisher's Z. ","unclear/other (add comment)","Does not apply here because their effect size is already looking at continuous relationships. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators);linear regression (including linear mixed-effects model)","They ran a multi-level meta-analysis and meta-regressions. They also did a ""weighted phylogenetic generalized least squares"" analysis with the nmle package to quantify the phylogenetic signal. ","weighted model","","paper explicitly models non-independence (at least some of it)","They used study, species, phylogeny, and effect size ID as random effects. ","yes, it uses graphical tests (e.g., funnel plot);yes, it uses trim-and-fill test;unclear/other","They also used ""rank correlation tests""","yes","""We next stratified data by BKA covariate (handling time: n=19; storage time: n=8), refitted MEMs with ML and order as a predictor, and used likelihood ratio tests to assess whether inclusion of confounding variables (i.e., maximum minutes animals were held before sampling, maximum days samples were frozen before assay, freezing temperature) mod-ified relationships with order.""","unclear/other (add comment)","They provide the different variance components, but not their contribution to the overall heterogeneity. ","yes","List of included studies in Supplement","R metafor;Other R package","metafor and nmle","no","No code provided","yes","All data and the phylogeny are available in the Dryad Digital Repository: https://dx.doi.org/10.5061/dryad.5618c1m (Becker et al. 2019)","Dryad","","Data is in appropriate format, but the raw data is not provided","The data is useable to reproduce the analyses but the raw data is not provided (e.g. data for generating r; and how it was converted to Zr) "
"2021/06/02 11:18:49 AM GMT+10","PP","Interspecific scaling of blood flow rates and arterial sizes in mammals","Seymour","2019","Journal of Experimental Biology","no (add details to comment)","They describe their paper as a ""meta-study"" ","yes (i.e., focused only on physiological traits very clearly)","The study focuses the relationship between blood flow rates and arterial sizes","10.1242/jeb.199554","unclear/other (add comment) - Describe effect size","They used the log10-transformed ""volume blood flow rate"" (Q) as their response variable. ","yes (if you select ""yes"", please describe in comment)","They use the body mass of the animals as a covariate (which influences the blood flow rate and arterial sizes)","linear regression (including linear mixed-effects model)","They used linear mixed effects models","unweighted model","They used an unweighted linear mixed effects model","paper explicitly models non-independence (at least some of it)","They include species ID as a random term in the models but do not account for other sources of non-independence. ","no","","no","They did remove an outlier but they did not compare models with/without this outlier","N/A (e.g. they conducted unweighted meta-analysis)","Does not apply because they performed a linear mixed effects model","yes","The list of included studies is reported in Table S1 of the supplement. However, full citations are not reported so I doubt the authors of the original studies were cited. ","Other R package;unclear/other (add comment)","lme4 in R, and ""Microsoft Excel add-in StatistiXL"" for calculated means and CI. They also fitted polynomial and power regression equations in GraphPad. ","no","No code provided","yes","""Data for arterial_Qandriwere obtained from 50 studies that includedboth variables in the same paper and were measured from mammalsat rest (see Table S1)."" Data is presented in supplement","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/02 11:39:09 AM GMT+10","PP","Sexual dimorphism in immunity across animals: a meta-analysis","Kelly","2018","Ecology Letters","yes","","yes (i.e., focused only on physiological traits very clearly)","The study focuses on the sexual dimorphism in immunity","10.0011/ele.13164","SMD (d, g, etc.)","""We used the R package compute.es (Del Re 2015) to convert the collected study statistics into the standard effectsize measure, Hedges’g [often referred to as Hedges’d in the literature (Nakagawa & Cuthill 2007; Borenstein et al.2009;Rosenberg et al.2013)]"" ","unclear/other (add comment)","Does not apply here because they measured the differences between sexes. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They used study, species, phylogeny, and effect size ID as random terms. They also modelled a correlation between related effects sizes (same cohort) as part of sensitivity analyses. ","yes, time-lag bias","""We did not conduct a formal analysis of publication bias for two reasons. First, analyses based on funnel plot symmetry (Duval & Tweedie 2000) assume no relationship between the effect size under study and the sample size used to study it, which is violated when, for example researchers collect larger sample sizes to investigate effect sizes that are more difficult to detect (Simonsohn 2017). Second, given the large number of effects that we had access to, imputation of any missing effects would have little effect on our analyses"" but they did assess time-lag bias. ","yes","They ran additional sets of models using a 0.5 correlation between dependent effect sizes (measured on the same cohorts of animals). ","yes","","yes","The list of included studies is cited in the data set published in Supplement. ","R metafor","","no","Code not provided","yes","""We confirm that, should the manuscript be accepted, the data supporting the results will be archived at the Center for Open Science and the data DOI will be included at the end of the article."" However, I could not find it in OSF, but it's published in Supplement","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/02 11:58:58 AM GMT+10","PP","Chicken or egg? Outcomes of experimental manipulations of maternally transmitted hormones depend on administration method – a meta-analysis","Podmokla","2018","Biological Reviews","yes","","yes (i.e., focused only on physiological traits very clearly)","The study focuses on hormone levels","10.1111/brv.12406","SMD (d, g, etc.)","""All effect sizes  (standardized  mean  difference  between the treatment and control groups – Hedges’d) and sampling variances (vard) were calculated in R (version 3.1.3), package:compute.es (Del Re, 2013)""","yes (if you select ""yes"", please describe in comment)","They controlled for the ""relative dose of hormone injected into the egg""","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They modelled phylogeny, study ID, laboratory ID, effect size ID and a correlation matrix between dependent sampling variances as random terms. ","yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test;yes, time-lag bias","","yes","They determined ""the impact of ambiguity in effect-size signs"" and tested whether ""shared control groups within sets for  some  effect  sizes  do  not  generate  non-independence of  effect  sizes that might bias our results"" in MCMCglmm. ","yes","","yes","Reported in the References section and in Supplement","R MCMCglmm;Other R package","ASReml-R for most analyses. MCMCglmm for one sensitivity analysis","no","No code provided","yes","Data provided in supplement","Online Supplemental Material","","Data is in appropriate format, but the raw data is not provided","Hedges'd and its sampling variance is reported; but not the raw values used to calculate the effect sizes. "
"2021/06/02 12:00:01 PM GMT+10","SB","Aquatic acidification: a mechanism underpinning maintained oxygen transport and performance in fish experiencing elevated carbon dioxide conditions","Hannan","2018","Journal of Experimental Biology","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1242/jeb.154559","Response Ratio (lnRR)","""The effect of acidification on AS was calculated as the log-transformed response ratio (lnRR)"" ","yes (if you select ""yes"", please describe in comment)","pCO2","random-effects meta-analysis (i.e., intercept only model, but has a study random effect ONLY)"," ""The overall mean effect was calculated for each response variable (AS and each respective oxygen uptake rate, SMR and MMR) by weighting each individual lnRR by the inverse of the sum of its sampling variance and the between-experiment variance, and then calculating the weighted mean (i.e. random effects meta-analysis; Hedges and Olkin, 1985)""","weighted model"," ""The overall mean effect was calculated for each response variable (AS and each respective oxygen uptake rate, SMR and MMR) by weighting each individual lnRR by the inverse of the sum of its sampling variance and the between-experiment variance, and then calculating the weighted mean (i.e. random effects meta-analysis; Hedges and Olkin, 1985)""","paper deals with non-independence in other than modeling way (e.g., aggregation, sampling)","""Multiple species tested in one study were analyzed separately. Additionally, multiple PCO2 treatments were separated (i.e. fluctuating versus constant).If multiple variables were observed (e.g. temperature and CO2), only the results exclusively dealing with manipulated PCO2 were compared with control conditions. If multiple exposure periods were examined in one study, these were analyzed individually. Resting and minimum oxygen uptake rates were grouped for analyses and used as estimates of standard metabolic rates (SMRs). Similarly, active and maximum oxygen uptake rates were grouped for analyses and used as estimates of maximum metabolic rates (MMR). Finally, multiple PCO2 exposures were separated for analyses""","no","","no","","no","","yes","Papers not cited in main text found in supplementary","R metafor","","no","","yes","Summary data provided in supplemental section, no raw data or effect sizes reported
Link: https://cob.silverchair-cdn.com/cob/content_public/journal/jeb/221/5/10.1242_jeb.154559/5/jeb154559supp.pdf?Expires=1625334145&Signature=CAJInKfHpioJ~AL~Mroa99vtpYbXN7QGeC9fBgpOL6bUXb6xa877ktWB9ptDQXxSCc1hMSbCMLn0G8fsWCs3B7IbvhYZxV7eM6CWJaGx62TUcAWqGUIwqZ2~5HPfAQFiT7Br942754c8g9NHPpaVPMyswaH4h6WoU~AvI69~z1sgnp9Er8yLoBUZvVtFFojeB-bczfOWCGTaNIeVnEzjlZyZB33HtIO0rdb5CdHHSKEyOYxgSzkkXNReVm-O7prpUySOsmg8KKNmRO7IPF8QcXMeN6P60k0fygti-jEMzTPK5u-3YsoaA21LjkowvGVJRLSV9QB55EJ1O1cApyp8fQ__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA","Online Supplemental Material","Link: https://cob.silverchair-cdn.com/cob/content_public/journal/jeb/221/5/10.1242_jeb.154559/5/jeb154559supp.pdf?Expires=1625334145&Signature=CAJInKfHpioJ~AL~Mroa99vtpYbXN7QGeC9fBgpOL6bUXb6xa877ktWB9ptDQXxSCc1hMSbCMLn0G8fsWCs3B7IbvhYZxV7eM6CWJaGx62TUcAWqGUIwqZ2~5HPfAQFiT7Br942754c8g9NHPpaVPMyswaH4h6WoU~AvI69~z1sgnp9Er8yLoBUZvVtFFojeB-bczfOWCGTaNIeVnEzjlZyZB33HtIO0rdb5CdHHSKEyOYxgSzkkXNReVm-O7prpUySOsmg8KKNmRO7IPF8QcXMeN6P60k0fygti-jEMzTPK5u-3YsoaA21LjkowvGVJRLSV9QB55EJ1O1cApyp8fQ__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.",""
